run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
1,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
1,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
2,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
2,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
2,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
3,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
3,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
3,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
4,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
4,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
4,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
5,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
5,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
5,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
6,NL0 0 CCGT,NL0 0,CCGT,1,200.0,15.714285714285714,6.0,22.5,0.0,22.5,-0.0,353.57142857142856,353.57142857142856,353.57142857142856,0.0
6,NL0 1 coal,NL0 1,coal,2,200.0,152.5,5.0,30.0,0.0,30.0,-0.0,4575.0,4575.0,4575.0,0.0
6,NL0 10 nuclear,NL0 10,nuclear,3,200.0,130.0,4.0,37.5,0.0,37.5,-0.0,4875.0,4875.0,4875.0,0.0
